"power" "noise" "n_loess" "method"
1 1 4 "cor"
1 2 4 "cor"
1 3 4 "cor"
0.916 4 4 "cor"
0.738 5 4 "cor"
0.5 6 4 "cor"
0.41 7 4 "cor"
0.308 8 4 "cor"
0.26 9 4 "cor"
0.21 10 4 "cor"
1 1 5 "cor"
1 2 5 "cor"
1 3 5 "cor"
1 4 5 "cor"
1 5 5 "cor"
0.998 6 5 "cor"
0.962 7 5 "cor"
0.916 8 5 "cor"
0.786 9 5 "cor"
0.714 10 5 "cor"
1 1 6 "cor"
1 2 6 "cor"
1 3 6 "cor"
1 4 6 "cor"
0.98 5 6 "cor"
0.874 6 6 "cor"
0.738 7 6 "cor"
0.606 8 6 "cor"
0.52 9 6 "cor"
0.404 10 6 "cor"
1 1 7 "cor"
1 2 7 "cor"
1 3 7 "cor"
1 4 7 "cor"
0.996 5 7 "cor"
0.976 6 7 "cor"
0.892 7 7 "cor"
0.766 8 7 "cor"
0.67 9 7 "cor"
0.59 10 7 "cor"
1 1 8 "cor"
1 2 8 "cor"
0.994 3 8 "cor"
0.924 4 8 "cor"
0.766 5 8 "cor"
0.516 6 8 "cor"
0.428 7 8 "cor"
0.402 8 8 "cor"
0.246 9 8 "cor"
0.236 10 8 "cor"
1 1 9 "cor"
1 2 9 "cor"
1 3 9 "cor"
1 4 9 "cor"
1 5 9 "cor"
1 6 9 "cor"
0.988 7 9 "cor"
0.96 8 9 "cor"
0.91 9 9 "cor"
0.832 10 9 "cor"
1 1 10 "cor"
1 2 10 "cor"
1 3 10 "cor"
0.992 4 10 "cor"
0.862 5 10 "cor"
0.756 6 10 "cor"
0.55 7 10 "cor"
0.464 8 10 "cor"
0.3 9 10 "cor"
0.276 10 10 "cor"
1 1 11 "cor"
1 2 11 "cor"
0.836 3 11 "cor"
0.514 4 11 "cor"
0.318 5 11 "cor"
0.258 6 11 "cor"
0.138 7 11 "cor"
0.118 8 11 "cor"
0.132 9 11 "cor"
0.094 10 11 "cor"
1 1 12 "cor"
1 2 12 "cor"
1 3 12 "cor"
0.956 4 12 "cor"
0.796 5 12 "cor"
0.568 6 12 "cor"
0.418 7 12 "cor"
0.382 8 12 "cor"
0.192 9 12 "cor"
0.24 10 12 "cor"
1 1 13 "cor"
1 2 13 "cor"
1 3 13 "cor"
