"power" "noise" "d_type" "method"
0.1 21 "linear" "dcor"
0.098 22 "linear" "dcor"
0.076 23 "linear" "dcor"
0.076 24 "linear" "dcor"
0.06 25 "linear" "dcor"
0.09 26 "linear" "dcor"
0.068 27 "linear" "dcor"
0.076 28 "linear" "dcor"
0.07 29 "linear" "dcor"
0.102 30 "linear" "dcor"
0.978 1 "quadratic" "dcor"
0.758 2 "quadratic" "dcor"
0.458 3 "quadratic" "dcor"
0.254 4 "quadratic" "dcor"
0.17 5 "quadratic" "dcor"
0.16 6 "quadratic" "dcor"
0.14 7 "quadratic" "dcor"
0.086 8 "quadratic" "dcor"
0.082 9 "quadratic" "dcor"
0.086 10 "quadratic" "dcor"
0.046 11 "quadratic" "dcor"
0.056 12 "quadratic" "dcor"
0.068 13 "quadratic" "dcor"
0.052 14 "quadratic" "dcor"
0.044 15 "quadratic" "dcor"
0.052 16 "quadratic" "dcor"
0.042 17 "quadratic" "dcor"
0.032 18 "quadratic" "dcor"
0.056 19 "quadratic" "dcor"
0.042 20 "quadratic" "dcor"
0.044 21 "quadratic" "dcor"
0.078 22 "quadratic" "dcor"
0.054 23 "quadratic" "dcor"
0.068 24 "quadratic" "dcor"
0.072 25 "quadratic" "dcor"
0.048 26 "quadratic" "dcor"
0.036 27 "quadratic" "dcor"
0.078 28 "quadratic" "dcor"
0.05 29 "quadratic" "dcor"
0.064 30 "quadratic" "dcor"
0.988 1 "cubic" "dcor"
0.914 2 "cubic" "dcor"
0.792 3 "cubic" "dcor"
0.584 4 "cubic" "dcor"
0.464 5 "cubic" "dcor"
0.39 6 "cubic" "dcor"
0.306 7 "cubic" "dcor"
0.228 8 "cubic" "dcor"
0.216 9 "cubic" "dcor"
0.212 10 "cubic" "dcor"
0.126 11 "cubic" "dcor"
0.102 12 "cubic" "dcor"
0.172 13 "cubic" "dcor"
0.1 14 "cubic" "dcor"
0.104 15 "cubic" "dcor"
0.068 16 "cubic" "dcor"
0.106 17 "cubic" "dcor"
0.116 18 "cubic" "dcor"
0.072 19 "cubic" "dcor"
0.088 20 "cubic" "dcor"
0.068 21 "cubic" "dcor"
0.074 22 "cubic" "dcor"
0.06 23 "cubic" "dcor"
0.074 24 "cubic" "dcor"
0.048 25 "cubic" "dcor"
0.09 26 "cubic" "dcor"
0.068 27 "cubic" "dcor"
0.074 28 "cubic" "dcor"
0.052 29 "cubic" "dcor"
0.078 30 "cubic" "dcor"
0.586 1 "sine period 1/2" "dcor"
0.454 2 "sine period 1/2" "dcor"
0.346 3 "sine period 1/2" "dcor"
0.28 4 "sine period 1/2" "dcor"
0.154 5 "sine period 1/2" "dcor"
0.188 6 "sine period 1/2" "dcor"
0.114 7 "sine period 1/2" "dcor"
0.088 8 "sine period 1/2" "dcor"
0.148 9 "sine period 1/2" "dcor"
0.084 10 "sine period 1/2" "dcor"
0.064 11 "sine period 1/2" "dcor"
0.064 12 "sine period 1/2" "dcor"
0.094 13 "sine period 1/2" "dcor"
0.08 14 "sine period 1/2" "dcor"
0.05 15 "sine period 1/2" "dcor"
0.066 16 "sine period 1/2" "dcor"
0.078 17 "sine period 1/2" "dcor"
