"power" "noise" "d_type" "method"
0.512 1 "sine period 1/8" "cor"
0.43 2 "sine period 1/8" "cor"
0.38 3 "sine period 1/8" "cor"
0.344 4 "sine period 1/8" "cor"
0.304 5 "sine period 1/8" "cor"
0.228 6 "sine period 1/8" "cor"
0.238 7 "sine period 1/8" "cor"
0.206 8 "sine period 1/8" "cor"
0.182 9 "sine period 1/8" "cor"
0.22 10 "sine period 1/8" "cor"
0.19 11 "sine period 1/8" "cor"
0.156 12 "sine period 1/8" "cor"
0.138 13 "sine period 1/8" "cor"
0.12 14 "sine period 1/8" "cor"
0.112 15 "sine period 1/8" "cor"
0.102 16 "sine period 1/8" "cor"
0.1 17 "sine period 1/8" "cor"
0.092 18 "sine period 1/8" "cor"
0.136 19 "sine period 1/8" "cor"
0.1 20 "sine period 1/8" "cor"
0.086 21 "sine period 1/8" "cor"
0.104 22 "sine period 1/8" "cor"
0.076 23 "sine period 1/8" "cor"
0.072 24 "sine period 1/8" "cor"
0.076 25 "sine period 1/8" "cor"
0.066 26 "sine period 1/8" "cor"
0.084 27 "sine period 1/8" "cor"
0.066 28 "sine period 1/8" "cor"
0.106 29 "sine period 1/8" "cor"
0.08 30 "sine period 1/8" "cor"
1 1 "x^(1/4)" "cor"
1 2 "x^(1/4)" "cor"
1 3 "x^(1/4)" "cor"
1 4 "x^(1/4)" "cor"
1 5 "x^(1/4)" "cor"
0.994 6 "x^(1/4)" "cor"
0.97 7 "x^(1/4)" "cor"
0.932 8 "x^(1/4)" "cor"
0.826 9 "x^(1/4)" "cor"
0.784 10 "x^(1/4)" "cor"
0.714 11 "x^(1/4)" "cor"
0.648 12 "x^(1/4)" "cor"
0.598 13 "x^(1/4)" "cor"
0.508 14 "x^(1/4)" "cor"
0.43 15 "x^(1/4)" "cor"
0.364 16 "x^(1/4)" "cor"
0.29 17 "x^(1/4)" "cor"
0.29 18 "x^(1/4)" "cor"
0.312 19 "x^(1/4)" "cor"
0.26 20 "x^(1/4)" "cor"
0.186 21 "x^(1/4)" "cor"
0.19 22 "x^(1/4)" "cor"
0.19 23 "x^(1/4)" "cor"
0.204 24 "x^(1/4)" "cor"
