"power" "noise" "d_type" "method"
1 2 "exp" "BDY"
1 3 "exp" "BDY"
1 4 "exp" "BDY"
1 5 "exp" "BDY"
0.998 6 "exp" "BDY"
0.968 7 "exp" "BDY"
0.898 8 "exp" "BDY"
0.888 9 "exp" "BDY"
0.746 10 "exp" "BDY"
0.744 11 "exp" "BDY"
0.6 12 "exp" "BDY"
0.504 13 "exp" "BDY"
0.514 14 "exp" "BDY"
0.484 15 "exp" "BDY"
0.394 16 "exp" "BDY"
0.37 17 "exp" "BDY"
0.342 18 "exp" "BDY"
0.266 19 "exp" "BDY"
0.254 20 "exp" "BDY"
0.222 21 "exp" "BDY"
0.204 22 "exp" "BDY"
0.204 23 "exp" "BDY"
0.214 24 "exp" "BDY"
0.222 25 "exp" "BDY"
0.164 26 "exp" "BDY"
0.142 27 "exp" "BDY"
0.174 28 "exp" "BDY"
0.114 29 "exp" "BDY"
0.188 30 "exp" "BDY"
1 1 "log" "BDY"
1 2 "log" "BDY"
1 3 "log" "BDY"
1 4 "log" "BDY"
1 5 "log" "BDY"
1 6 "log" "BDY"
1 7 "log" "BDY"
1 8 "log" "BDY"
1 9 "log" "BDY"
0.986 10 "log" "BDY"
0.994 11 "log" "BDY"
0.97 12 "log" "BDY"
0.948 13 "log" "BDY"
0.942 14 "log" "BDY"
0.908 15 "log" "BDY"
0.838 16 "log" "BDY"
0.792 17 "log" "BDY"
0.786 18 "log" "BDY"
0.706 19 "log" "BDY"
0.72 20 "log" "BDY"
0.65 21 "log" "BDY"
0.588 22 "log" "BDY"
0.588 23 "log" "BDY"
0.516 24 "log" "BDY"
0.466 25 "log" "BDY"
0.43 26 "log" "BDY"
0.4 27 "log" "BDY"
0.428 28 "log" "BDY"
0.27 29 "log" "BDY"
0.314 30 "log" "BDY"
1 1 "exp" "S_ADP"
1 2 "exp" "S_ADP"
1 3 "exp" "S_ADP"
1 4 "exp" "S_ADP"
1 5 "exp" "S_ADP"
0.994 6 "exp" "S_ADP"
